region,City_Used,State,Country,Latitude,Longitude
Albany,Albany,NY,USA,42.65258,-73.756233
Atlanta,Atlanta,GA,USA,33.748997,-84.387985
BaltimoreWashington,Baltimore,MD,USA,39.290386,-76.61219
Boise,Boise,ID,USA,43.615021,-116.202316
Boston,Boston,MA,USA,42.360081,-71.058884
BuffaloRochester,Buffalo,NY,USA,42.886448,-78.878372
California,NA,CA,USA,36.778259,-119.417931
Charlotte,Charlotte,NC,USA,35.227085,-80.843124
Chicago,Chicago,IL,USA,41.878113,-87.629799
CincinnatiDayton,Cincinnati,OH,USA,39.103119,-84.512016
Columbus,Columbus,OH,USA,39.961178,-82.998795
DallasFtWorth,Dallas,TX,USA,32.776665,-96.796989
Denver,Denver,CO,USA,39.739235,-104.99025
Detroit,Detroit,MI,USA,42.331429,-83.045753
GrandRapids,GrandRapids,MI,USA,42.96336,-85.668083
GreatLakes,NA,NA,USA,NA,NA
HarrisburgScranton,Harrisburg,PA,USA,40.27319,-76.886703
HartfordSpringfield,Hartford,CT,USA,41.765804,-72.67337
Houston,Houston,TX,USA,29.76328,-95.36327
Indianapolis,Indianapolis,IN,USA,39.791,-86.148003
Jacksonville,Jacksonville,FL,USA,30.332184,-81.655647
LasVegas,LasVegas,NV,USA,36.114647,-115.172813
LosAngeles,LosAngeles,CA,USA,34.052235,-118.243683
Louisville,Louisville,KY,USA,38.328732,-85.764771
MiamiFtLauderdale,Miami,FL,USA,25.761681,-80.191788
Midsouth,NA,NA,USA,NA,NA
Nashville,Nashville,TN,USA,36.174465,-86.76796
NewOrleansMobile,NewOrleans,LA,USA,29.951065,-90.071533
NewYork,NewYork,NY,USA,40.73061,-73.935242
Northeast,NA,NA,USA,NA,NA
NorthernNewEngland,NA,NA,USA,NA,NA
Orlando,Orlando,FL,USA,28.538336,-81.379234
Philadelphia,Philadelphia,PA,USA,39.952583,-75.165222
PhoenixTucson,Phoenix,AZ,USA,33.448376,-112.074036
Pittsburgh,Pittsburgh,PA,USA,40.440624,-79.995888
Plains,NA,NA,USA,NA,NA
Portland,Portland,OR,USA,45.523064,-122.676483
RaleighGreensboro,Raleigh,NC,USA,35.787743,-78.644257
RichmondNorfolk,Richmond,VA,USA,37.54129,-77.434769
Roanoke,Roanoke,VA,USA,37.270969,-79.941429
Sacramento,Sacramento,CA,USA,38.575764,-121.478851
SanDiego,SanDiego,CA,USA,32.715736,-117.161087
SanFrancisco,SanFrancisco,CA,USA,37.733795,-122.446747
Seattle,Seattle,WA,USA,47.608013,-122.335167
SouthCarolina,NA,SC,USA,33.836082,-81.163727
SouthCentral,NA,NA,USA,NA,NA
Southeast,NA,NA,USA,NA,NA
Spokane,Spokane,WA,USA,47.658779,-117.426048
StLouis,StLouis,MO,USA,38.627003,-90.199402
Syracuse,Syracuse,NY,USA,43.088947,-76.15448
Tampa,Tampa,FL,USA,27.964157,-82.452606
TotalUS,NA,NA,USA,37.09024,-95.712891
West,NA,NA,USA,NA,NA
WestTexNewMexico,NA,NA,USA,NA,NA
