"","x"
"1","Albany"
"2","Atlanta"
"3","BaltimoreWashington"
"4","Boise"
"5","Boston"
"6","BuffaloRochester"
"7","California"
"8","Charlotte"
"9","Chicago"
"10","CincinnatiDayton"
"11","Columbus"
"12","DallasFtWorth"
"13","Denver"
"14","Detroit"
"15","GrandRapids"
"16","GreatLakes"
"17","HarrisburgScranton"
"18","HartfordSpringfield"
"19","Houston"
"20","Indianapolis"
"21","Jacksonville"
"22","LasVegas"
"23","LosAngeles"
"24","Louisville"
"25","MiamiFtLauderdale"
"26","Midsouth"
"27","Nashville"
"28","NewOrleansMobile"
"29","NewYork"
"30","Northeast"
"31","NorthernNewEngland"
"32","Orlando"
"33","Philadelphia"
"34","PhoenixTucson"
"35","Pittsburgh"
"36","Plains"
"37","Portland"
"38","RaleighGreensboro"
"39","RichmondNorfolk"
"40","Roanoke"
"41","Sacramento"
"42","SanDiego"
"43","SanFrancisco"
"44","Seattle"
"45","SouthCarolina"
"46","SouthCentral"
"47","Southeast"
"48","Spokane"
"49","StLouis"
"50","Syracuse"
"51","Tampa"
"52","TotalUS"
"53","West"
"54","WestTexNewMexico"
